Category	Vendor Number	Item Number	Item Description	Pack	Bottle Volume (ml)	State Bottle Cost
1032200	35	34605	Grey Goose La Poire Vodka	6	750	$18.49 
1062310	260	43302	Captain Morgan Black Spiced	12	750	$11.00 
1031080	434	36308	Hawkeye Vodka	6	1750	$7.13 
1062310	259	43026	Admiral Nelson Spiced Rum	12	750	$5.77 
1042100	260	28890	Tanqueray Rangpur Gin	12	750	$12.50 
1012100	115	11773	Black Velvet	48	200	$1.56 
1101100	434	41846	Everclear Alcohol	12	750	$8.25 
1031080	297	35917	Five O'clock Vodka	12	1000	$4.01 
1031080	260	38008	Smirnoff Vodka 80 Prf Pet	6	1750	$14.75 
1082900	192	65254	Jagermeister Liqueur	24	375	$6.51 
1062200	35	43156	Bacardi 151 Proof Rum	12	750	$13.50 
1032080	370	34004	Absolut Swedish Vodka 80 Prf	24	375	$6.49 
1081200	434	68846	St. Brendan's Superior Irish Cream Liqueur	12	750	$7.69 
1011100	65	22786	Beam's 8 Star Bl Whiskey	12	750	$3.25 
1031080	434	36308	Hawkeye Vodka	6	1750	$7.17 
1012200	35	4866	Dewars White Label Scotch	12	750	$13.73 
1062310	259	43028	Admiral Nelson Spiced Rum	6	1750	$11.55 
1081600	421	64864	Fireball Cinnamon Whisky	24	375	$5.33 
1062300	370	42716	Malibu Coconut Rum	12	750	$7.50 
1041150	370	33256	Seagrams Lime Twisted Gin	12	750	$6.49 
1052010	389	49189	Remy Martin Vsop Cognac	24	200	$5.70 
1062200	35	43038	Bacardi Gold Rum	6	1750	$14.67 
1032080	370	34007	Absolut Swedish Vodka 80 Prf	12	1000	$14.89 
1012100	434	13038	Canadian Reserve Whisky	6	1750	$9.00 
1031200	65	40841	Pucker Vodka Wild Cherry Tease	12	750	$9.99 
1062200	451	43426	Don Q Cristal Rum	12	750	$6.50 
1012200	260	5347	Johnnie Walker Red Label Scotch	12	1000	$16.99 
1042100	35	28236	Bombay Sapphire Gin	12	750	$13.63 
1022100	395	87510	1800 Silver Tequila	12	750	$14.17 
1081390	421	69636	Dr. Mcgillicuddy's Cherry Schnapps	12	750	$8.67 
1081305	65	82607	Dekuyper Sour Apple	12	1000	$7.62 
1081200	305	73050	Rumchata	6	750	$12.50 
1031200	260	77405	Smirnoff Sorbet Light Mango Passion Fruit Mini	12	500	$5.72 
1701100	478	552	Menage a Trois VAP	6	750	$12.41 
1051110	434	55086	Paramount Blackberry Brandy	12	750	$0.00 
1012100	260	11294	Crown Royal Canadian Whisky	24	375	$7.36 
1071100	55	57125	Chi-Chi's Gold Margarita	6	1750	$6.50 
1012100	260	11296	Crown Royal	12	750	$14.25 
1062200	35	43126	Bacardi Superior Rum	12	750	$7.54 
1011100	260	25608	Seagrams 7 Crown Bl Whiskey	6	1750	$11.96 
1032080	260	36871	Ciroc Luxury Vodka	12	750	$18.50 
1062310	260	43337	Captain Morgan Spiced Rum	12	1000	$10.99 
1051100	55	54436	Mr. Boston Apricot Brandy	12	750	$4.50 
1081600	85	86886	Southern Comfort	12	750	$9.85 
1032200	65	33750	Pinnacle Caramel Apple	12	750	$7.88 
1031100	300	36887	McCormick Vodka	12	1000	$4.13 
1062200	260	43328	Captain Morgan White	12	750	$9.00 
1032080	267	35213	Sobieski Vodka	6	1750	$10.99 
1062310	260	43336	Captain Morgan Original Spiced	12	750	$9.00 
1012100	260	11290	Crown Royal Canadian Whisky Mini	10	300	$6.60 
1082900	330	66936	Grangala Triple Orange Liqueur	12	750	$10.99 
1071100	55	57148	Chi-Chi's Margarita W/tequila	6	1750	$5.99 
1071100	35	56850	Bacardi Party Drinks Bahama Mama	6	1750	$5.98 
1032080	395	34935	Three Olives Vodka	12	750	$10.16 
1011200	434	16988	Bourbon Supreme Bourbon	6	1750	$9.67 
1012100	115	11788	Black Velvet	6	1750	$10.45 
1022100	395	89230	1800 Anejo Tequila	6	750	$19.50 
1032080	35	34422	Grey Goose Vodka	6	1000	$22.50 
1081010	434	76488	Paramount Amaretto	6	1750	$8.07 
1032080	390	34678	Quadro Russian Vodka	12	750	$16.39 
1012300	370	15621	Jameson Mini	10	600	$11.88 
1011500	255	27102	Templeton Rye	6	750	$18.08 
1062050	420	42936	10 Cane Rum	6	750	$12.50 
1012100	115	10548	Black Velvet Toasted Caramel	6	1750	$12.99 
1011200	461	22156	Wild Turkey 101	12	750	$12.49 
1022100	330	89496	Margaritaville Gold Tequila	12	750	$6.01 
1012100	55	11936	Canadian Ltd Whisky Convenience Pack	12	750	$4.34 
1031200	380	41601	Uv Blue (raspberry) Vodka	12	375	$3.45 
1051100	434	54446	Paramount Apricot Flavored Brandy	12	750	$5.48 
1062200	434	45278	Paramount White Rum	6	1750	$7.58 
1031080	434	36305	Hawkeye Vodka	12	750	$3.34 
1081370	65	82867	Dekuyper Watermelon Pucker	12	1000	$7.62 
1022100	395	87632	El Zarco Silver	12	750	$7.67 
1062200	434	45274	Paramount White Rum	24	375	$2.84 
1022100	65	89786	Sauza Gold	12	750	$8.40 
1062050	420	42936	10 Cane Rum	6	750	$14.98 
1022100	421	88768	Tortilla White Tequila	6	1750	$12.83 
1011100	297	23828	Five Star	6	1750	$7.46 
1062310	259	43024	Admiral Nelson Spiced Rum	24	375	$2.74 
1022100	421	988063	Members Mark Silver Tequila	336	1750	$13.58 
1022100	260	89175	Don Julio Anejo Tequila	6	750	$32.49 
1051010	85	52806	Korbel Brandy	12	750	$5.69 
1011200	259	17916	Elijah Craig	12	750	$14.04 
1011200	434	18196	Ezra Brooks 50 Mo Ky Sour Mash Bourbon	12	750	$5.75 
1031080	55	35316	Barton Vodka	12	750	$3.37 
1011200	492	19436	Lexington	6	750	$14.53 
1012200	370	4716	Chivas Regal 12 Yr	12	750	$17.74 
1062310	478	42230	Sugar Island Spiced	12	750	$10.00 
1081370	65	82867	Dekuyper Watermelon Pucker	12	1000	$7.35 
1081900	322	75208	Kinky Liqueur Mini	6	500	$4.67 
1052010	389	49084	Remy Martin 1738 Accord Royal	12	375	$12.90 
1081600	421	64858	Fireball Cinnamon Whiskey Mini Dispenser	1	3000	$29.72 
1032080	35	34423	Grey Goose Vodka	12	375	$8.48 
1031080	380	37348	Phillips Vodka	6	1750	$7.31 
1012100	115	11788	Black Velvet	6	1750	$9.70 
1031200	259	41316	Burnetts Raspberry Vodka	12	750	$4.55 
1031080	260	38006	Smirnoff Vodka Traveller	12	750	$8.25 
1022100	421	88767	Tortilla White Tequila	12	1000	$7.14 
1041100	297	29994	Five O'clock Gin	24	375	$1.99 
1081200	461	68126	Carolan's Irish Cream Liqueur	12	750	$7.70 
1081010	55	73981	Amaretto di Amore Mini	10	600	$5.95 
1032200	370	34014	Absolut Apeach	12	750	$11.49 
1011200	55	21595	Ten High Traveler	12	750	$4.10 
1012200	55	8828	Lauder's	6	1750	$11.18 
1022100	478	89885	Tres Agaves Anejo	6	750	$20.17 
1081200	451	80296	Kringle Cream	6	750	$12.50 
1031080	260	38006	Smirnoff Vodka Traveller	12	750	$7.96 
1012100	115	11776	Black Velvet	12	750	$4.83 
1011200	85	22216	Woodford Reserve Bourbon	6	750	$21.02 
1031080	260	37418	Popov Vodka 80 Prf	6	1750	$8.49 
1012100	115	11788	Black Velvet	6	1750	$9.45 
1041100	259	29568	Burnett's Gin London Dry	6	1750	$10.06 
1032080	370	34008	Absolut Swedish Vodka 80 Prf	6	1750	$20.00 
1031200	260	77740	Smirnoff Raspberry	12	750	$8.25 
1031080	297	35914	Five O'clock Vodka	24	375	$1.93 
1051010	259	52316	Christian Bros Brandy	12	750	$5.41 
1032080	115	35435	Svedka Traveler	12	750	$8.25 
1031200	380	41604	Uv Grape Vodka	12	750	$6.50 
1031080	461	37986	Skyy Vodka	12	750	$10.01 
1011100	65	22788	Beam's 8 Star Bl Whiskey	6	1750	$7.43 
1032080	260	34457	Ketel One Imported Vodka	12	1000	$17.50 
1022100	395	89198	Jose Cuervo Especial Reposado Tequila	6	1750	$20.25 
1011200	55	21597	Ten High	12	1000	$4.94 
1022100	410	88296	Patron Tequila Silver	12	750	$26.08 
1071100	395	58840	Jose Cuervo Authentic Grapefruit Tangerine Margarita	6	1750	$8.20 
1081300	434	81206	Paramount Peppermint Schnapps	12	750	$3.70 
1042100	260	28866	Tanqueray Gin	12	750	$12.25 
1051120	434	55246	Arrow Wild Cherry Flav Brandy	12	750	$5.38 
1031080	260	37993	Smirnoff Vodka 80 Prf	48	200	$2.46 
1031200	380	40399	UV Peach Mini	6	500	$29.60 
1011200	421	16518	Ancient Age Bourbon	6	1750	$11.80 
1012100	115	10553	Black Velvet Cinnamon Rush	12	750	$6.75 
1011300	85	26827	Jack Daniels Old #7 Black Lbl	12	1000	$17.41 
1051110	434	55086	Paramount Blackberry Brandy	12	750	$5.47 
1031200	380	40229	UV Sriracha	12	750	$6.50 
1062310	260	43333	Captain Morgan Spiced Rum Pet	48	200	$2.01 
1042100	35	28210	Bombay Sapphire East	12	750	$13.50 
1062310	259	43026	Admiral Nelson Spiced Rum	12	750	$5.78 
1012100	260	11366	Crown Royal Special Reserve	12	750	$24.30 
1082900	192	65256	Jagermeister Liqueur	12	750	$12.05 
1062200	434	45278	Paramount White Rum	6	1750	$7.84 
1082900	192	65254	Jagermeister Liqueur	24	375	$6.52 
1081390	421	69666	Dr. Mcgillicuddy's Vanilla	12	750	$8.67 
1062310	260	43334	Captain Morgan Spiced Rum	24	375	$5.00 
1011200	65	19066	Jim Beam	12	750	$10.49 
1012100	115	11586	Black Velvet Reserve	12	750	$6.75 
1022100	395	89191	Jose Cuervo Especial Reposado Tequila Mini	12	500	$11.50 
1022100	421	88767	Tortilla White Tequila	12	1000	$6.64 
1012300	395	15777	Bushmills Irish Whiskey	12	1000	$16.25 
1031080	380	37356	Phillips Vodka Ez Pack	12	750	$3.48 
1012210	65	5446	Laphroaig 10 Yr Single Malt Scotch	12	750	$26.24 
1032080	115	34821	Svedka Vodka	6	1750	$13.89 
1032200	65	35626	Pinnacle Whipped	12	750	$6.88 
1081010	434	76486	Paramount Amaretto	12	750	$3.38 
1062310	240	45887	Sailor Jerry Spiced Navy Rum	12	1000	$11.78 
1011500	255	27102	Templeton Rye	6	750	$18.09 
1032080	370	34007	Absolut Swedish Vodka 80 Prf	12	1000	$15.00 
1031200	380	40390	UV Candy Bar Mini	6	500	$4.89 
1031080	260	37994	Smirnoff Vodka 80 Prf	24	375	$4.75 
1011200	65	27783	Jim Beam Apple	12	750	$10.49 
1081330	65	82847	Dekuyper Peachtree	12	1000	$7.62 
1041100	370	32233	Seagrams Extra Dry Gin	48	200	$2.00 
1031200	380	41857	Uv Cherry Red Vodka Mini	6	500	$4.89 
1062050	205	42437	Shellback Silver	12	750	$6.49 
1031100	300	36908	Mccormick Vodka Pet	6	1750	$7.46 
1022100	395	89194	Jose Cuervo Especial Reposado Flask	24	375	$5.50 
1031080	260	37998	Smirnoff Vodka 80 Prf	6	1750	$14.75 
1081312	65	82786	Dekuyper Buttershots Schnapps	12	750	$5.30 
1032080	277	34747	Stolichnaya Premium Vodka 80 Proof (lv)	12	1000	$16.80 
1042100	395	28246	Boodles British Gin London Dry	12	750	$11.20 
1012100	55	12408	Canadian Ltd Whisky	6	1750	$9.14 
1012100	85	12466	Canadian Mist Whisky	12	750	$5.44 
1011100	260	25616	Seagrams 7 Crown Pet Flask	12	750	$7.00 
1081300	434	80571	Arrow Peppermint Schnapps Mini	12	500	$4.54 
1031080	380	37338	UV Vodka PET	6	1750	$10.99 
1031200	260	41592	Smirnoff Lime Vodka	12	750	$7.96 
1052010	420	48105	Hennessy VS	12	375	$9.49 
1032200	370	34061	Absolut Ruby Red	12	750	$11.00 
1022100	260	89175	Don Julio Anejo Tequila	6	750	$31.50 
1042100	370	28086	Beefeater Gin	12	750	$10.99 
1062300	35	43137	Bacardi Limon	12	1000	$10.50 
1062300	370	42712	Malibu Coconut Rum Mini	12	500	$4.95 
1032200	35	34267	Grey Goose Le Citron	6	750	$18.49 
1022100	434	87596	El Mayor Blanco	6	750	$10.00 
1062200	434	45274	Paramount White Rum	24	375	$2.96 
1012100	434	13036	Canadian Reserve Whisky	12	750	$4.26 
1031080	55	37936	Skol Vodka	12	750	$3.64 
1011300	85	26826	Jack Daniels Old #7 Black Lbl	12	750	$13.01 
1031080	260	37414	Popov Vodka 80 Prf	24	375	$3.00 
1022100	395	89196	Jose Cuervo Especial Reposado Tequila	12	750	$10.49 
1082900	85	64676	Chambord Liqueur Royale De France	12	750	$18.56 
1022100	65	89836	Hornitos Gold	12	750	$13.11 
1011100	260	25601	Seagrams 7 Crown Bl Whiskey Mini	12	500	$6.17 
1011300	85	26826	Jack Daniels Old #7 Black Lbl	12	750	$14.04 
1022100	410	88296	Patron Tequila Silver	12	750	$27.00 
1012100	55	12408	Canadian Ltd Whisky	6	1750	$7.79 
1011300	85	26828	Jack Daniels Old #7 Black Lbl	6	1750	$28.69 
1022100	421	88766	Tortilla White Tequila	12	750	$6.20 
1052010	420	48099	Hennessy VS	24	200	$5.49 
1051150	885	901167	Williams Pear Brandy	3	750	$19.87 
1031080	205	36968	New Amsterdam Vodka	24	375	$3.50 
1032200	260	64755	Ciroc Red Berry	12	750	$18.50 
1032080	115	34820	Svedka Vodka	12	750	$7.97 
1012100	85	12478	Canadian Mist Canadian Why Pet	6	1750	$10.50 
1031200	380	41693	Uv Blue (raspberry) Vodka	12	750	$6.50 
1062300	370	42676	Malibu Passion Fruit Rum	12	750	$7.49 
1012100	260	10807	Crown Royal Regal Apple	12	750	$15.00 
1031200	380	41692	Uv Blue (raspberry) Vodka	6	1750	$10.49 
1031080	55	37938	Skol Vodka	6	1750	$7.10 
1062310	260	43336	Captain Morgan Original Spiced	12	750	$8.75 
1062200	35	43036	Bacardi Gold Rum	12	750	$7.25 
1081200	260	68022	Bailey's Salted Caramel	12	750	$13.25 
1081200	260	68038	Bailey's Original Irish Cream	6	1750	$26.49 
1011200	492	16825	Bird Dog Bourbon	6	750	$10.00 
1012210	370	5036	Glenlivet 12 Yr Malt Scotch	12	750	$22.49 
1081200	260	68034	Bailey's Original Irish Cream	12	375	$7.00 
1062300	260	43219	Captain Morgan Parrot Bay Orange	12	750	$7.49 
1031080	461	37988	Skyy Vodka	6	1750	$17.15 
1031200	380	41783	Uv Blue Raspberry Vodka Mini	6	500	$3.67 
1052010	420	48154	Hennessy Black	12	375	$11.49 
1062200	35	43121	Bacardi Superior Rum Mini	12	500	$5.54 
1011100	434	24156	Hawkeye Blend Whiskey	12	750	$3.35 
1031200	260	77658	Smirnoff Cranberry	12	750	$8.25 
1081400	55	86390	Montezuma Triple Sec	12	1000	$2.13 
1012100	260	11348	Seagrams V.o. Bl Canadian Whisky Pet	6	1750	$15.42 
1081365	421	83906	Maui Blue Hawaiian Schnapps	12	750	$3.67 
1031080	259	35416	Burnett's Vodka 80 Prf	12	750	$4.16 
1011500	65	27056	Jim Beam Rye	12	750	$11.03 
1082900	192	65257	Jagermeister Liqueur	12	1000	$15.54 
1011200	65	19067	Jim Beam	12	1000	$12.08 
1032080	370	34007	Absolut Swedish Vodka 80 Prf	12	1000	$14.99 
1031200	380	41704	Uv Red (cherry) Vodka	12	750	$6.50 
1031080	301	38176	Titos Vodka	12	750	$9.65 
1081390	421	69611	Dr. Mcgillicuddy's Apple Pie Schnapps	12	750	$8.32 
1031200	380	41692	Uv Blue (raspberry) Vodka	6	1750	$10.48 
1031080	297	35926	Five O'clock PET Vodka	12	750	$3.37 
1012100	260	11298	Crown Royal Canadian Whisky	6	1750	$31.99 
1011200	461	77776	Wild Turkey American Honey	12	750	$10.50 
1081380	65	82626	Dekuyper Cherry Pucker Schnapps	12	750	$6.30 
1032080	370	34006	Absolut Swedish Vodka 80 Prf	12	750	$10.89 
1032200	370	33966	Absolut Orient Apple	12	750	$11.00 
1081365	65	82857	Dekuyper Island Punch Pucker	12	1000	$7.62 
1032080	370	34006	Absolut Swedish Vodka 80 Prf	12	750	$11.49 
1031080	297	35918	Five O'clock Vodka	6	1750	$6.92 
1081015	130	64136	Disaronno Amaretto	12	750	$13.86 
1081317	65	82636	Dekuyper Grape Pucker Schnapps	12	750	$5.30 
1051010	115	53216	Paul Masson Grande Amber Brandy	12	750	$6.30 
1082900	461	64996	Frangelico Liqueur	12	750	$13.50 
1081330	65	82844	Dekuyper Peachtree Schnapps	24	375	$3.06 
1031200	380	40228	UV Sriracha Mini	6	500	$4.89 
1081300	434	81204	Paramount Peppermint Schnapps	24	375	$2.28 
1011100	65	24454	Kessler Blend Whiskey	24	375	$3.15 
1031080	380	37356	Phillips Vodka Ez Pack	12	750	$3.57 
1032080	260	36871	Ciroc Luxury Vodka	12	750	$18.49 
1081030	370	67526	Kahlua Coffee Liqueur	12	750	$11.99 
1052010	389	49185	Remy Martin Vsop (flask)	12	375	$10.66 
1062300	65	44499	Cruzan Mango Rum	12	750	$6.83 
1062310	260	43316	Captain Morgan Private Stock Rum	12	750	$11.45 
1012200	260	5346	Johnnie Walker Red	12	750	$14.00 
1041100	434	31658	Paramount Gin	6	1750	$7.11 
1062310	260	43244	Captain Morgan 100 Proof Spiced Rum	12	750	$10.00 
1011200	421	16518	Ancient Age Bourbon	6	1750	$11.24 
1062310	260	43331	Captain Morgan Spiced Rum Mini	12	500	$5.50 
1081317	65	82637	Dekuyper Grape Pucker	12	1000	$7.62 
1062310	259	43027	Admiral Nelson Spiced Rum	12	1000	$7.28 
1051010	205	52595	E & J Vs Brandy Travelers	12	750	$5.75 
1032080	370	34003	Absolut Swedish Vodka 80 Prf	24	200	$3.99 
1011100	434	24158	Hawkeye Blend Whiskey	6	1750	$7.38 
1071100	55	80058	Chi-Chi's Orange Cream	6	1750	$6.00 
1031080	259	35416	Burnett's Vodka 80 Prf	12	750	$4.83 
1012300	330	15572	Concannon	6	750	$10.00 
1031100	300	36886	Mccormick Vodka	12	750	$3.30 
1032080	35	34422	Grey Goose Vodka	6	1000	$22.00 
1032200	115	33658	Svedka Mango Pineapple	12	750	$8.25 
1031200	260	41719	Smirnoff Green Apple Vodka	12	750	$8.25 
1081600	85	86886	Southern Comfort	12	750	$9.36 
1012200	55	8828	Lauder's	6	1750	$10.68 
1031200	260	40604	Smirnoff Kissed Caramel	12	750	$7.96 
1081200	322	80440	Ricacha Horchata	6	750	$10.00 
1052010	420	48106	Hennessy Vs Cognac	12	750	$17.99 
1012100	65	15296	Windsor Canadian Traveler	12	750	$4.20 
1011200	65	19067	Jim Beam	12	1000	$11.54 
1011200	461	22151	Wild Turkey 101 Mini	12	500	$8.52 
1051110	55	55068	Mr. Boston Blackberry Brandy	6	1750	$10.00 
1062200	260	43330	Captain Morgan White	6	1750	$18.00 
1081600	421	64865	Fireball Cinnamon Whiskey PET	12	750	$8.98 
1042100	240	28625	Hendrick's Gin	6	750	$17.33 
1062300	260	43282	Captain Morgan Parrot Bay Pineapple	12	750	$7.49 
1011100	260	25604	Seagrams 7 Crown Bl Whiskey	24	375	$3.50 
1031200	421	41146	Sweet Carolina Sweet Tea Flavored Vodka	12	750	$6.94 
1081340	65	82826	Dekuyper Ragin' Root Beer Schnapps	12	750	$6.30 
1081390	421	69706	Dr. Mcgillicuddy's Root Beer Schnapps	12	750	$8.32 
1071100	260	63550	Tgif On The Rocks Long Island Ice Tea	12	750	$3.82 
1011200	55	21596	Ten High	12	750	$4.10 
1051010	205	52593	E & J Vs Brandy	24	200	$1.79 
1012210	370	5037	Glenlivet 12 Yr Malt Scotch	12	1000	$26.99 
1041100	434	30526	Hawkeye Gin	12	750	$3.33 
1071100	308	72448	Tooters Blu-Dacious Kamikazi Mini	12	375	$5.00 
1032200	277	34786	Stolichnaya Blueberi	12	750	$12.80 
1081330	65	82846	Dekuyper Luscious Peachtree Schnapps	12	750	$6.30 
1051110	434	55088	Paramount Blackberry Brandy	6	1750	$11.29 
1012100	55	13388	Northern Light	6	1750	$8.72 
1081312	65	82787	Dekuyper Buttershots	12	1000	$7.62 
1071100	260	58801	Captain Morgan Long Island Iced Tea	6	1750	$11.00 
1032080	370	34368	Fris Danish Vodka	6	1750	$10.50 
1051010	205	52591	E & J Vs Brandy Mini	12	500	$5.92 
1012100	65	15244	Windsor Canadian Supreme Whisky	24	375	$2.89 
1011100	65	24458	Kessler Blend Whiskey	6	1750	$11.02 
1032200	260	64755	Ciroc Red Berry	12	750	$18.75 
1081600	85	86884	Southern Comfort	24	375	$4.54 
1012100	260	11294	Crown Royal Canadian Whisky	24	375	$7.65 
1022100	434	87938	Juarez Tequila Silver	6	1750	$13.00 
1011100	260	25606	Seagrams 7 Crown Bl Whiskey	12	750	$7.00 
1022100	395	89199	Jose Cuervo Especial Reposado Square	12	375	$5.50 
1081200	305	73051	Rumchata Mini	12	500	$8.87 
1071100	434	62097	Paramount Long Island Iced Tea	12	1000	$4.50 
1062300	65	44419	Cruzan Black Cherry Rum	12	750	$6.83 
1022100	395	89197	Jose Cuervo Especial Reposado Tequila	12	1000	$12.50 
1062300	35	43145	Bacardi Pineapple Fusion	12	750	$8.26 
1012200	370	9426	Passport Scotch	12	750	$6.25 
1081330	65	82847	Dekuyper Peachtree	12	1000	$7.35 
1012100	85	12464	Canadian Mist Whisky	24	375	$2.89 
1071100	55	57129	Chi-Chi's Mexican Mudslide	6	1750	$6.50 
1032200	434	34561	Pearl Coconut Vodka	12	750	$7.85 
1041100	434	31656	Paramount Gin	12	750	$3.39 
1022100	395	87510	1800 Silver Tequila	12	750	$14.50 
